"periodo_denuncia,anio_denuncia,fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,latitud,longitud"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,HURTO,185,Hurto simple,135,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,HURTO,186,Hurto agravado,71,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,HURTO,187,Hurto de uso,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,RECEPTACION,194,Receptación.,14,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,RECEPTACION,195,Formas agravadas,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ROBO,188,Robo.,12,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ROBO,189,Robo agravado,22,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,USURPACION,202,Usurpación.,77,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,USURPACION,204,Formas agravadas de usurpación,33,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,376,Abuso de autoridad,26,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,376-B,Otorgamiento ilegítimo de derechos sobre inmuebles (abuso de autoridad),1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,377,""Omisión, rehusamiento o demora de actos funcionales (abuso de autoridad)"",43,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
